Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name,key,rank
51,48.5,42.5,63.2,37.7,51.72624113,7.352941176,Indiana University,156,156
51,49.3,49.6,58.2,23.2,49.6,5.747126437,Iowa State University,157,156
50.7,67.3,41.7,48.9,16.3,50.1,8.49,Georgia Health Sciences University,158,158
50.4,39.4,43.6,65.5,58.6,51.72624113,5.291005291,Erasmus University Rotterdam,159,159
50.4,38.4,51.9,61.3,16.8,100,6.289308176,University of Delaware,160,159
50.3,43,44.1,66.9,24.1,51.72624113,3.344481605,Arizona State University,161,161
50.3,40.1,33.6,78,31.6,51.72624113,5.747126437,Boston College,162,161
50.2,46.1,50.6,58.9,21.3,37.5,5.102040816,National Sun Yat Sen University,163,163
50.1,65.1,44.7,45,24.7,51.72624113,11.76470588,Georgetown University,164,164
50,42.5,49.2,60.2,38.2,38.8,6.944444444,University of Amsterdam,165,165
50,40.8,47.8,59.6,59.8,40.6,7.352941176,University of Liverpool,166,165
49.9,38.1,55.6,57.3,33.4,61.5,7.352941176,Aarhus University,167,167
49.8,46.2,48,55.6,50,38.3,6.802721088,University of Leeds,168,168
49.8,48.7,40.9,60.4,40.3,51.72624113,2.604166667,University of Warzburg,169,168
49.7,41.7,56.4,54.1,35.5,34.2,3.90625,University of Groningen,170,170
49.6,46.2,34.7,70.2,29.3,41.2,6.024096386,Sun Yat sen University,171,171
49.4,39.2,37.3,69.5,56.1,41.6,10.75268817,Goethe University Frankfurt,172,172
49.3,39.9,35.7,70.4,54.23,51.72624113,1.474926254,Bielefeld University,173,173
49,43.6,51.7,45,96.3,40,6.172839506,Nanyang Technological University,174,174
49,42.1,40.4,62.8,62.8,29.7,6.802721088,University of East Anglia,175,174
49,46.8,44.1,52.5,74.8,38.4,6.666666667,University of Nottingham,176,174
48.8,44.1,45.7,58.3,45.8,26.1,24.3902439,University of Copenhagen,177,177
48.5,50.9,44.5,52,46.1,27.8,1.904761905,Humboldt University of Berlin,178,178
48.5,39.4,38.8,60.5,87.1,40.8,2.469135802,Monash University,179,178
48.5,46.8,33.8,65.3,46.8,29.4,1.420454545,University of Bonn,180,178
48.3,53.2,54.4,32.9,57.9,98.7,6.024096386,National Chiao Tung University,181,181
48.2,50,42.5,48.9,63.8,56.6,3.623188406,RWTH Aachen University,182,182
47.7,39.5,39.5,66.4,27.2,43.9,4.504504505,Middle East Technical University,183,183
47.6,40.4,42.5,57.9,62.8,32.2,5.319148936,University of Exeter,184,184
47.5,49.9,48.3,42,62.4,49.8,8.333333333,University of Twente,185,185
47.3,42.7,40.1,51.3,93.6,51.72624113,1.692047377,University of Konstanz,186,186
47.2,45,35.4,60.7,47.3,40,4.06504065,Karlsruhe Institute of Technology,187,187
47.2,37.9,34.8,60.2,99.5,35,5.917159763,University of Innsbruck,188,187
47,45.9,36.3,57.3,57.8,32.3,2.570694087,University of Tbingen,189,189
46.9,45,35.9,58.2,60.6,27.4,9.259259259,Drexel University,190,190
46.9,43.6,40.4,61.5,18.9,32.5,6.369426752,University of Cincinnati,191,190
46.9,43,48.7,52.2,28,40.4,8.620689655,Yonsei University,192,190
46.8,41.6,50.2,48.8,44.9,51.72624113,6.944444444,Dalhousie University,193,193
46.8,49.1,56.2,29.2,64.2,100,6.849315068,KTH Royal Institute of Technology,194,193
46.7,47.6,45.7,45.6,63.2,27,4.87804878,University of Vienna,195,195
46.5,33.5,33.3,76.8,15.9,26.3,5.263157895,Kent State University,196,196
46.4,57.8,46.8,34.7,51.8,51.72624113,10.86956522,University of Illinois at Chicago,197,197
46.4,54.6,41.3,44.3,29.6,70.3,6.289308176,Zhejiang University,198,197
46.2,32.9,44.2,60.2,51.9,37.9,3.533568905,Simon Fraser University,199,199
46.2,43.3,49.5,41.7,54.23,99.9,21.73913043,Swedish University of Agricultural Sciences,200,199
